participantID,item,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender,ratedEmotion,congruent_choice
P059,WF-010-NR-A_4,4,WF,010,NR,A,4,Female,Angry,4
P037,WF-010-NR-A_4,3,WF,010,NR,A,4,Female,Angry,4
P017,WF-010-NR-A_4,1,WF,010,NR,A,4,Female,Angry,4
P014,WF-010-NR-A_4,4,WF,010,NR,A,4,Female,Angry,4
P050,WF-010-NR-A_4,5,WF,010,NR,A,4,Female,Angry,4
P010,WF-010-NR-A_4,4,WF,010,NR,A,4,Female,Angry,4
P009,WF-010-NR-A_4,4,WF,010,NR,A,4,Female,Angry,4
P006,WF-010-NR-A_4,2,WF,010,NR,A,4,Female,Angry,4
P004,WF-010-NR-A_4,4,WF,010,NR,A,4,Female,Angry,4
P059,WF-010-NR-F_6,1,WF,010,NR,F,6,Female,Scared,6
P037,WF-010-NR-F_6,1,WF,010,NR,F,6,Female,Scared,6
P017,WF-010-NR-F_6,2,WF,010,NR,F,6,Female,Scared,6
P014,WF-010-NR-F_6,3,WF,010,NR,F,6,Female,Scared,6
P050,WF-010-NR-F_6,1,WF,010,NR,F,6,Female,Scared,6
P010,WF-010-NR-F_6,4,WF,010,NR,F,6,Female,Scared,6
P009,WF-010-NR-F_6,4,WF,010,NR,F,6,Female,Scared,6
P006,WF-010-NR-F_6,4,WF,010,NR,F,6,Female,Scared,6
P004,WF-010-NR-F_6,3,WF,010,NR,F,6,Female,Scared,6
P065,WF-011-NR-N_4,1,WF,011,NR,N,4,Female,Angry,4
P062,WF-011-NR-N_4,4,WF,011,NR,N,4,Female,Angry,4
p057,WF-011-NR-N_4,3,WF,011,NR,N,4,Female,Angry,4
P054,WF-011-NR-N_4,5,WF,011,NR,N,4,Female,Angry,4
P033,WF-011-NR-N_4,1,WF,011,NR,N,4,Female,Angry,4
P013,WF-011-NR-N_4,2,WF,011,NR,N,4,Female,Angry,4
P053,WF-011-NR-N_4,2,WF,011,NR,N,4,Female,Angry,4
P047,WF-011-NR-N_4,2,WF,011,NR,N,4,Female,Angry,4
P028,WF-011-NR-N_4,1,WF,011,NR,N,4,Female,Angry,4
P027,WF-011-NR-N_4,2,WF,011,NR,N,4,Female,Angry,4
P026,WF-011-NR-N_4,2,WF,011,NR,N,4,Female,Angry,4
P023,WF-011-NR-N_4,1,WF,011,NR,N,4,Female,Angry,4
P065,WF-011-NR-HC_1,4,WF,011,NR,HC,1,Female,Happy,1
P062,WF-011-NR-HC_1,5,WF,011,NR,HC,1,Female,Happy,1
p057,WF-011-NR-HC_1,5,WF,011,NR,HC,1,Female,Happy,1
P054,WF-011-NR-HC_1,4,WF,011,NR,HC,1,Female,Happy,1
P033,WF-011-NR-HC_1,4,WF,011,NR,HC,1,Female,Happy,1
P013,WF-011-NR-HC_1,4,WF,011,NR,HC,1,Female,Happy,1
